Sprint Name,Sprint Start Date,Sprint End Date,Committed Story Points,Completed Story Points,Added During Sprint,Carryover Story Points,Velocity,Team
Sprint 1,2026-01-06,2026-01-17,42,38,6,4,38,Alpha Team
Sprint 2,2026-01-20,2026-01-31,45,44,3,1,44,Alpha Team
Sprint 3,2026-02-03,2026-02-14,40,35,8,5,35,Alpha Team
Sprint 4,2026-02-17,2026-02-28,48,46,5,2,46,Alpha Team
Sprint 5,2026-03-03,2026-03-14,50,47,7,3,47,Alpha Team
Sprint 6,2026-03-17,2026-03-28,46,40,9,6,40,Alpha Team
Sprint 7,2026-04-01,2026-04-12,52,49,4,2,49,Alpha Team
Sprint 8,2026-04-15,2026-04-26,55,50,6,5,50,Alpha Team
Sprint 9,2026-04-29,2026-05-10,49,45,5,4,45,Alpha Team
Sprint 10,2026-05-13,2026-05-24,53,48,8,5,48,Alpha Team
Sprint 11,2026-05-27,2026-06-07,51,46,7,6,46,Alpha Team
Sprint 12,2026-06-10,2026-06-21,54,48,0,6,0,Alpha Team
Sprint 13,2026-06-24,2026-07-05,56,52,6,4,52,Alpha Team
